dish;type;product;amount;unit;coef;note
Кофе;напиток;;;;;
Зеленый чай;напиток;;;;;
Ромашковый чай;напиток;;;;;
Вода без газа комнатной температуры;напиток;;;;;
Вода без газа (комнатной температуры);напиток;;;;;
Velle кокосовый;товар;velle_kokosovyy;;;;
Питьевой кокосовый йогурт «Velle»;товар;velle_pitevoy;;;;
Банан;товар;banan;120;г;;1 шт ≈ 120 г
Голубика;товар;golubika;;;;
Персик;товар;persik;150;г;;1 шт ≈ 150 г
Персик или нектарин;товар;persik_ili_nektarin;;;;
Свежие ягоды (любые);товар;yagody;;;;
Свежие ягоды (голубика/малина/черешня);товар;yagody;;;;
Свежий манго;товар;mango;;;;
Слабосоленая семга;товар;semga_slabosol;;;;
Сыр козий;товар;syr_koziy;;;;
Сыр «Адыгейский» козий;товар;syr_adygeyskiy;;;;
Биойогурт из козьего молока;товар;bioyogurt_koziy;;;;
Кешью;товар;keshyu;;;;
Мармелад;товар;marmelad;;;;
Финики «Меджул»;товар;finiki;;;;
Печенье «Vitlen» с гречневой мукой и шоколадом;товар;pechene_vitlen;;;;
Сухое печенье «Мария»;товар;pechene_mariya;;;;
Урбеч из расторопши;товар;urbech;10;г;;2 ч.л. ≈ 10 г
Сухая клетчатка;товар;kletchatka;5;г;;1 ч.л. ≈ 5 г
Помидоры черри;товар;pomidory_cherri;100;г;;5 шт ≈ 100 г
Розовые томаты или сорт «бычье сердце»;товар;tomaty_rozovye;;;;
Тартин;товар;tartin;;;;
Хлебцы из зеленой гречки;товар;hlebcy;;;;
Хлебцы их зеленой гречки;товар;hlebcy;;;;
Онигири с запеченным тунцом;товар;onigiri;;;;
Брускета с вялеными томатами;товар;brusketa;;;;ПРОВЕРЬ: считаю покупной готовой, не раскладывал
Брауни из зеленой гречки;товар;brauni;;;;ПРОВЕРЬ: считаю покупным готовым, не раскладывал
Морковный кекс с грецким орехом;товар;morkovnyy_keks;;;;ПРОВЕРЬ: считаю покупным готовым, не раскладывал
Костный бульон;товар;kostnyy_bulon;;;;
Костный бульон с зеленью;товар;kostnyy_bulon;;;;
Желудочный кисель;товар;kisel_zheludochnyy;25;г;;ПРОВЕРЬ: 25 г сухой смеси на 200 мл — уточни по своей пачке
Борщ с томленой щекой;товар;borsch;;;;ПРОВЕРЬ: считаю готовым из кулинарии, не раскладывал
Отварная гречка;блюдо;grechka;;;2.2;
Отварной дикий рис;блюдо;dikiy_ris;;;3.0;
Отварной бурый рис;блюдо;buryy_ris;;;3.0;
Отварная смесь бурого и дикого риса;блюдо;smes_risa;;;3.0;
Отварной булгур;блюдо;bulgur;;;2.6;
Отварной киноа;блюдо;kinoa;;;3.0;
Отварные гречневые спагетти;блюдо;grechnevye_spagetti;;;2.5;
Отварные гречневые спагетти (без глютена);блюдо;grechnevye_spagetti;;;2.5;
Отварная лапша из гречневой и рисовой муки;блюдо;lapsha_grech_ris;;;2.5;
Запеченное филе лосося;блюдо;file_lososya;;;0.8;
Запеченный лосось;блюдо;losos;;;0.8;
Стейк тунца на пару/гриле;блюдо;tunec_steyk;;;0.8;
Обжаренные гребешки;блюдо;grebeshki;;;0.8;
Отварные креветки белоногие «королевские»;блюдо;krevetki;160;г;;ПРОВЕРЬ: 7 шт ≈ 160 г сырых
Куриное филе гриль;блюдо;kurinoe_file;;;0.8;
Куриное филе на гриле;блюдо;kurinoe_file;;;0.8;
Отварная баранина (корейка или вырезка);блюдо;baranina;;;0.65;ПРОВЕРЬ: отварное мясо теряет ~35%
Отварные перепелиные яйца;блюдо;perepelinye_yayca;;;1.0;
Запеченная тыква;блюдо;tykva;;;0.8;
Запеченные кабачки;блюдо;kabachki;;;0.8;
Запеченный батат;блюдо;batat;;;0.8;
Отварная свекла;блюдо;svekla;;;0.85;с учётом очистки
Отварная/запеченная свекла;блюдо;svekla;;;0.85;с учётом очистки
Свежий огурец (без кожуры);блюдо;ogurcy;;;0.85;кожура ~15%
Свежий огурец в нарезке (без кожуры);блюдо;ogurcy;;;0.85;кожура ~15%
Запеченные бананы;блюдо;banan;150;г;;ПРОВЕРЬ: 100 г готовых ≈ 1 банан 150 г с кожурой
Котлеты из индейки на пару;блюдо;kotlety_indeyki;150;г;;2 шт ≈ 150 г сырых
Котлеты из индейки диетические на пару;блюдо;kotlety_indeyki;150;г;;2 шт ≈ 150 г сырых
Котлеты из кролика на пару;блюдо;kotlety_krolika;120;г;;порция 100 г готовых
Котлета из говядины (стейкбургер) на пару;блюдо;kotleta_govyadiny;120;г;;1 шт ≈ 120 г сырая
Котлета из говядины (сейкбургер) на пару;блюдо;kotleta_govyadiny;120;г;;опечатка в плане, та же котлета
Котлеты из щуки;блюдо;kotlety_schuki;120;г;;1 шт ≈ 120 г сырая
Хлебцы из зеленой гречки с козьим сыром;блюдо;hlebcy;2;шт;;
Хлебцы из зеленой гречки с козьим сыром;блюдо;syr_koziy;20;г;;намазка, ~10 г на хлебец
Хлебцы из зеленой гречки с авокадо и консервированным тунцом;блюдо;hlebcy;2;шт;;
Хлебцы из зеленой гречки с авокадо и консервированным тунцом;блюдо;avokado;40;г;;
Хлебцы из зеленой гречки с авокадо и консервированным тунцом;блюдо;tunec_konserv;40;г;;
Тартин с козьим сыром;блюдо;tartin;30;г;;порция 40 г: 30 хлеба + 10 сыра-намазки
Тартин с козьим сыром;блюдо;syr_koziy;10;г;;намазка
Тартин с творожным сыром (козьим) и отварными перепелиными яйцами;блюдо;tartin;40;г;;
Тартин с творожным сыром (козьим) и отварными перепелиными яйцами;блюдо;syr_koziy;20;г;;намазка
Тартин с творожным сыром (козьим) и отварными перепелиными яйцами;блюдо;perepelinye_yayca;2;шт;;
