product;store;url;name;confidence
abrikosy;lavka;https://lavka.yandex.ru/good/abrikosy-500-gram;Абрикосы 500 г;high
abrikosy;vkusvill;https://vkusvill.ru/goods/abrikos-628/;Абрикос;high
arbuz;lavka;https://lavka.yandex.ru/good/arbuz-6-kilogram;Арбуз 6 кг;high
arbuz;magnit;https://magnit.ru/product/1444282013-arbuz_1kg;Арбуз;high
arbuz;vkusvill;https://vkusvill.ru/goods/arbuz-669/;Арбуз;high
avokado;lavka;https://lavka.yandex.ru/good/avokado-hass-2-unit-2;Авокадо Хасс 2 шт.;high
avokado;lenta;https://lenta.com/product/avokado-ves-638739/;Авокадо, весовой;high
avokado;magnit;https://magnit.ru/product/1000272975-avokado;Авокадо;high
avokado;vkusvill;https://vkusvill.ru/goods/avokado-khass-16591/;Авокадо Хасс, шт;high
banan;lavka;https://lavka.yandex.ru/good/zelyonyj-banan-1-unit;Зелёный банан 1 шт.;medium
banan;lenta;https://lenta.com/product/banany-ves-11230/;Бананы, весовые;high
banan;magnit;https://magnit.ru/product/9072651501-banany;Бананы;high
banan;vkusvill;https://vkusvill.ru/goods/banany-731/;Бананы;high
baranina;vkusvill;https://vkusvill.ru/goods/koreyka-4-rebra-iz-yagnenka-khalyal-okhl-117273/;Корейка 4 ребра из ягненка Халяль охл., вес;high
batat;lavka;https://lavka.yandex.ru/good/kartofel-batat-fruktovaya-lavka-300-gram;Батат Pura Vida 400 г;high
batat;lenta;https://lenta.com/product/batat-ves-59791/;Батат с оранжевой мякотью, весовой;high
batat;vkusvill;https://vkusvill.ru/goods/batat-egipet-47752/;Батат Египет;high
bioyogurt_koziy;magnit;https://magnit.ru/product/1000387580-beloe_zoloto_yogurt_iz_kozego_moloka_naturalnyy_mdzh_3_2_tu_rezervuarnyy_sposob_zakvashivaniya_kislo;Йогурт Белое Золото из козьего молока натуральный 150г;high
bioyogurt_koziy;vkusvill;https://vkusvill.ru/goods/bioyogurt-iz-kozego-moloka-yabloko-karamel-97291/;Биойогурт из козьего молока "яблоко-карамель";high
brauni;vkusvill;https://vkusvill.ru/goods/brauni-iz-zelenoy-grechki-119077/;Брауни из зеленой гречки, 120 г (веган);high
brusketa;lenta;https://lenta.com/product/brusketta-iz-vyalenyh-tomatov-s-kedrovymi-oreshkami-rossiya-140g-746049/;Брускетта TOMTOM из вяленых томатов с кедровыми орешками, 140г;medium
brusketa;magnit;https://magnit.ru/product/1000452142-premiere_of_taste_brusketta_iz_vyal_tomat_s_provan_trav_140g;Брускетта TomTom с вялеными томатами и прованскими травами 140г;medium
brusketa;vkusvill;https://vkusvill.ru/goods/brusketta-iz-vyalenykh-tomatov-s-keshyu-38367/;Брускетта из вяленых томатов с кешью;high
bulgur;lavka;https://lavka.yandex.ru/good/bulgur-agro-alyans-iz-tvyordyh-sortov-pshenicy-450-gram;Булгур Агро-Альянс 450 г;high
