product;xml_id;unit;weight_kg;price;name;pcs
abrikosy;628;кг;;340;Абрикос;
arbuz;669;кг;;50;Арбуз;
avokado;16591;шт;0.11;145;Авокадо Хасс, шт;
banan;731;кг;;168;Бананы;
baranina;117273;кг;;2390;Корейка 4 ребра из ягненка Халяль охл., вес;
batat;47752;кг;;320;Батат Египет;
bioyogurt_koziy;97291;шт;0.1;92;Биойогурт из козьего молока "яблоко-карамель";
brauni;119077;шт;0.12;245;Брауни из зеленой гречки, 120 г (веган);
brusketa;38367;шт;0.14;274;Брускетта из вяленых томатов с кешью;
bulgur;32678;шт;0.5;125;Крупа пшеничная Мистраль Булгур 500 г;
buryy_ris;28795;шт;0.5;125;Рис бурый нешлифованный;
chipsy;60653;шт;0.05;250;Чипсы с гималайской солью, безглютеновые;
cvetnaya_kapusta;626;кг;;310;Капуста цветная;
dikiy_ris;29383;шт;0.4;227;Смесь риса бурого и дикого (пакетики);
dynya;665;кг;;150;Дыня Колхозница;
ezhiki_indeyki;30042;шт;0.45;352;Ежики из индейки;
farsh_govyazhiy;62798;шт;0.36;369;Фарш из говядины "Постный по стандарту ВВ", 360 г;
farsh_indeyki;37018;шт;0.5;443;Фарш из индейки, 500 г;
file_bedra_indeyki;1067;кг;;907;Филе бедра индейки;
file_grudki_indeyki;1066;кг;;924;Филе грудки индейки;
file_lososya;113809;кг;;4250;Семга филе охл., вес АО Вкусвилл;
finiki;22403;шт;0.2;449;Финики сорт "Меджул";
frikadelki_indeyki;1602;шт;0.5;545;Фрикадельки из индейки, зам.;
funchoza;27490;шт;0.2;208;Вермишель "Фунчоза";
golubika;20082;шт;0.125;220;Голубика, 125 г;
govyadina;68672;шт;0.4;441;Говядина для тушения, 400 г;
granatovyy_sok;1063;шт;1;480;Сок гранатовый прямого отжима, 1 л;
grebeshki;19426;шт;0.3;1400;Морской гребешок филе 100/130 зам., 300 г;
grechka;17699;шт;0.9;82;Крупа гречневая ядрица, 900 г;
grechnevye_spagetti;105157;шт;0.25;147;Лапша из гречневой и рисовой муки, без глютена;
hashbraun;60066;шт;0.4;325;Хашбраун с сыром и зеленью, зам.;
hek;113941;шт;0.6;687;Хек филе без кожи зам., 600 г;
hleb_borodinskiy;63310;шт;0.27;94;Изделие х/б "Бородинский" бездрожжевой нарезка, 270 г;
